generation,bestCost,elapsedTime,feasability
64,1.0,0.09684492700034752,2527
65,0.8,0.09833119699942472,2747
66,0.6000000000000001,0.09985588599920447,2573
67,0.6000000000000001,0.10140001699983259,2877
68,0.6000000000000001,0.10287529800007178,2620
69,0.8,0.10437366599944653,2738
70,1.2000000000000002,0.1058912650005368,2711
71,0.8,0.10738518399921304,2759
72,1.0,0.10885637499995937,2690
73,1.0,0.11038061999897764,2694
74,0.6000000000000001,0.11187586000050942,2729
75,0.4,0.11338755100041453,2635
76,1.2000000000000002,0.11491050699987682,2968
77,0.8,0.1164245239997399,2604
78,0.6000000000000001,0.1179404220001743,2734
79,0.6000000000000001,0.11947414499991282,2802
80,1.2000000000000002,0.1210074459995667,2953
81,0.6000000000000001,0.12250586700065469,2600
82,0.4,0.12400416099990252,2694
83,1.0,0.12552076599968132,2810
84,1.4000000000000001,0.12701555199964787,2802
85,1.0,0.12859523800034367,2735
86,0.6000000000000001,0.13009692400009953,2840
87,0.6000000000000001,0.13162054500025988,2912
88,0.8,0.1351318920005724,3015
89,0.8,0.13671405099921685,2704
90,0.2,0.13835951299915905,2553
91,1.2000000000000002,0.13998182400064252,2431
92,0.8,0.14168788399911136,2972
93,1.4000000000000001,0.14331410500017228,2883
94,0.8,0.14502464500037604,2649
95,1.0,0.1466785600005096,2825
96,1.2000000000000002,0.1482962320005754,2716
97,0.8,0.15006484299919975,2819
98,1.0,0.15178343399929872,2812
99,0.4,0.15345352599979378,2676
100,0.8,0.15518129900010535,2801
101,1.0,0.15691830799914896,2820
102,0.8,0.15855807499974617,2773
103,0.8,0.1601983279997512,2851
104,0.8,0.16185278199918685,2979
105,0.8,0.16347017999942182,2873
106,1.2000000000000002,0.16511984699900495,2892
107,1.2000000000000002,0.16674608799985435,2505
108,0.4,0.16832766600055038,2853
109,1.0,0.16996249700059707,2710
110,0.8,0.17159283799992409,2910
111,1.0,0.17319929899895214,2691
112,1.0,0.17483101399920997,2524
113,0.4,0.1764696610007377,2863
114,0.8,0.17809011200006353,2441
115,1.2000000000000002,0.17970849300036207,2779
116,0.8,0.18131419400015147,2881
117,1.0,0.18282449199978146,2816
118,0.6000000000000001,0.18432800600021437,2608
119,1.0,0.18582966000030865,2704
120,0.6000000000000001,0.18730142200001865,2552
121,0.4,0.18879331199968874,2637
122,0.6000000000000001,0.19031505199927778,2615
123,1.0,0.19179125200025737,2737
124,0.6000000000000001,0.19331392200001574,2698
125,0.4,0.19484337599897117,2795
126,0.8,0.19635667399961676,2668
127,0.8,0.19781897800021397,2692
128,0.2,0.19935831200018583,2679
129,0.6000000000000001,0.2008679110003868,2948
130,0.8,0.20233965199986415,2800
131,1.6,0.20385865500065847,2932
132,0.4,0.20539996499974222,2718
133,0.4,0.20689570200011076,2644
134,1.4000000000000001,0.20842512499984878,2637
135,0.6000000000000001,0.20994396000060078,2752
136,0.8,0.21146099900033732,2702
137,1.2000000000000002,0.21294010500059812,2740
138,1.4000000000000001,0.21444542599965644,2857
139,0.4,0.2159927480006445,2693
