generation,bestCost,elapsedTime,feasability
217,0.0,0.1875059030007833,203
218,0.0,0.1883960310005932,165
219,0.0,0.189220373000353,192
220,0.0,0.19007844299994758,177
221,0.0,0.19092173100034415,241
222,0.0,0.1917408120007167,130
223,0.0,0.19265004400040198,169
224,0.0,0.1934885660011787,260
225,0.0,0.19436181000128272,193
226,0.0,0.1951934850003454,195
227,0.0,0.19603971100150375,189
228,0.0,0.19696703200133925,197
229,0.0,0.19782205900082772,275
230,0.0,0.19869777400163002,162
231,0.0,0.19953171000088332,155
232,0.0,0.20036966200132156,177
233,0.0,0.2012198910015286,164
234,0.0,0.20208445900061633,176
235,0.0,0.20296247800069978,150
236,0.0,0.20379298100124288,146
237,0.0,0.20464496400018106,195
238,0.0,0.2054905660006625,171
239,0.0,0.2063844029999018,295
240,0.0,0.2072707060015091,304
241,0.0,0.20809033600016846,276
242,0.0,0.20892983000157983,165
243,0.0,0.20977702800155384,141
244,0.0,0.21065738200013584,171
245,0.0,0.21153441900059988,129
246,0.0,0.2124145200014027,164
247,0.0,0.21327591800036316,257
248,0.0,0.21411853000063275,195
249,0.0,0.21498399600022822,163
250,0.0,0.21587475900014397,238
251,0.0,0.21670170100151154,167
252,0.0,0.21755848200155015,139
253,0.0,0.2183866070008662,161
254,0.0,0.21924045000014303,240
255,0.0,0.22011867100081872,156
256,0.0,0.2209504200000083,165
257,0.0,0.22182420200078923,190
258,0.0,0.22265314100150135,272
259,0.0,0.22348109700033092,329
260,0.0,0.224371627000437,229
261,0.0,0.2252002800014452,248
262,0.0,0.22607854300076724,133
263,0.0,0.2269088440007181,182
264,0.0,0.22774217799997132,217
265,0.0,0.22865776000071492,293
266,0.0,0.22948792500028503,314
267,0.0,0.23035797700140392,282
268,0.0,0.23120095800004492,352
269,0.0,0.2320411700002296,259
270,0.0,0.23290868600088288,288
271,0.0,0.23375423500147008,292
272,0.0,0.23463312000058067,221
273,0.0,0.23546233300112362,206
274,0.0,0.23633154000162904,215
275,0.0,0.23719158600033552,261
276,0.0,0.23805757100126357,201
277,0.0,0.23892142100157798,189
278,0.0,0.23975153200080968,323
279,0.0,0.24059407000095234,267
280,0.0,0.24144165800134942,247
281,0.0,0.24231185800090316,200
282,0.0,0.24319918699984555,212
283,0.0,0.24407064400111267,245
284,0.0,0.24492706599994563,307
285,0.0,0.24578093099989928,334
286,0.0,0.24663753200002247,186
287,0.0,0.24752737500057265,231
288,0.0,0.24836351000158174,258
289,0.0,0.24920658600058232,171
290,0.0,0.2500321970001096,117
291,0.0,0.25085623300037696,226
292,0.0,0.2517287999999098,188
293,0.0,0.25255404000017734,219
294,0.0,0.25342274000104226,218
295,0.0,0.2542889570013358,228
296,0.0,0.2551284620003571,108
297,0.0,0.2560481760010589,138
298,0.0,0.2568828940002277,155
299,0.0,0.2577545740005007,237
300,0.0,0.25858950300062133,139
301,0.0,0.25946108700009063,168
302,0.0,0.2603641800014884,146
303,0.0,0.26121750499987684,233
304,0.0,0.2620860040005937,153
305,0.0,0.26290891999997257,147
